tarih,rota,saat_araligi,fiyat,tedarikçi,araç
2025-03-31 00:29:08,istanbul_to_arnavutkoy,4 saat,€172.2,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:11,istanbul_to_arnavutkoy,8 saat,€37.86,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:11,istanbul_to_arnavutkoy,8 saat,€60.89,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:11,istanbul_to_arnavutkoy,8 saat,€61.5,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:11,istanbul_to_arnavutkoy,8 saat,€63.96,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:11,istanbul_to_arnavutkoy,8 saat,€131.22,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:14,istanbul_to_arnavutkoy,10 saat,€42.96,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:14,istanbul_to_arnavutkoy,10 saat,€61.5,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:14,istanbul_to_arnavutkoy,10 saat,€61.5,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:14,istanbul_to_arnavutkoy,10 saat,€63.96,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:14,istanbul_to_arnavutkoy,10 saat,€87.33,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:18,istanbul_to_arnavutkoy,12 saat,€31.43,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:18,istanbul_to_arnavutkoy,12 saat,€31.43,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:18,istanbul_to_arnavutkoy,12 saat,€31.43,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:18,istanbul_to_arnavutkoy,12 saat,€57.81,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:18,istanbul_to_arnavutkoy,12 saat,€58.62,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:29:18,istanbul_to_arnavutkoy,12 saat,€86.1,Bodrum Luxury Travel,Electric Standard (Electric Standard Vehicle)
2025-03-31 00:29:18,istanbul_to_arnavutkoy,12 saat,€87.82,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:21,arnavutkoy_to_istanbul,4 saat,€42.99,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:21,arnavutkoy_to_istanbul,4 saat,€61.5,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:21,arnavutkoy_to_istanbul,4 saat,€61.5,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:21,arnavutkoy_to_istanbul,4 saat,€61.5,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:21,arnavutkoy_to_istanbul,4 saat,€172.2,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:24,arnavutkoy_to_istanbul,8 saat,€43.03,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:24,arnavutkoy_to_istanbul,8 saat,€63.96,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:24,arnavutkoy_to_istanbul,8 saat,€63.96,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:24,arnavutkoy_to_istanbul,8 saat,€63.96,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:24,arnavutkoy_to_istanbul,8 saat,€131.22,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:27,arnavutkoy_to_istanbul,10 saat,€42.96,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:27,arnavutkoy_to_istanbul,10 saat,€55.35,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:27,arnavutkoy_to_istanbul,10 saat,€61.5,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:27,arnavutkoy_to_istanbul,10 saat,€63.96,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:27,arnavutkoy_to_istanbul,10 saat,€87.33,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:30,arnavutkoy_to_istanbul,12 saat,€31.43,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:30,arnavutkoy_to_istanbul,12 saat,€31.43,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:30,arnavutkoy_to_istanbul,12 saat,€31.43,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:30,arnavutkoy_to_istanbul,12 saat,€57.81,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:30,arnavutkoy_to_istanbul,12 saat,€58.62,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:29:30,arnavutkoy_to_istanbul,12 saat,€86.1,Bodrum Luxury Travel,Electric Standard (Electric Standard Vehicle)
2025-03-31 00:29:30,arnavutkoy_to_istanbul,12 saat,€87.82,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:34,istanbul_to_besiktas,4 saat,€39.24,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:34,istanbul_to_besiktas,4 saat,€40.22,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:34,istanbul_to_besiktas,4 saat,€47.61,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:34,istanbul_to_besiktas,4 saat,€49.74,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:34,istanbul_to_besiktas,4 saat,€98.4,Bodrum Luxury Travel,Minibus (Renault Master or similar)
2025-03-31 00:29:34,istanbul_to_besiktas,4 saat,€135.3,Bodrum Luxury Travel,Executive (Mercedes Benz E-Class or similar)
2025-03-31 00:29:34,istanbul_to_besiktas,4 saat,€287.82,Bodrum Luxury Travel,Electric Standard (Electric Standard Vehicle)
2025-03-31 00:29:37,istanbul_to_besiktas,8 saat,€44.66,Bodrum Luxury Travel,Executive People Carrier (Mercedes V-Class or similar)
2025-03-31 00:29:37,istanbul_to_besiktas,8 saat,€46.65,Bodrum Luxury Travel,Large People Carrier (Ford Tourneo or similar)
2025-03-31 00:29:37,istanbul_to_besiktas,8 saat,€46.99,Bodrum Luxury Travel,People Carrier (Peugeot 5008 or similar)
2025-03-31 00:29:37,istanbul_to_besiktas,8 saat,€50.41,Bodrum Luxury Travel,Standard (Skoda Octavia or similar)
2025-03-31 00:29:37,istanbul_to_besiktas,8 saat,€105.47,Bodrum Luxury Travel,Minibus (Renault Master or similar)
